	dg_d	dg_v	ca3_d	ca3_v	ca2	ca1_d	ca1_i	ca1_v	sst	pv
ENSMUSG00000000365	0	0.0345554	0.164012	0.768213	1.11853	0.0598537	0.400723	1.58894	0.0942501	0.0167406
ENSMUSG00000000374	12.1027	11.2064	16.3647	15.0421	11.979	10.6298	11.8859	12.6104	18.8626	17.3308
ENSMUSG00000000378	14.7219	5.4207	8.37714	7.55423	17.2786	6.80385	7.16621	12.0929	11.8793	7.48596
ENSMUSG00000000381	0	0.269075	0	0.361838	0	0.0344404	0	0	0	0
ENSMUSG00000000384	10.7516	8.45874	7.12938	7.5301	6.93433	6.16348	15.3774	10.4293	8.47892	16.6689
ENSMUSG00000000385	0	0	0	0	0	0	0	0	0.0476367	0.0134776
ENSMUSG00000000386	0	0	0.00731773	0	0.0190647	0	0	0	1.11498	0.43134
ENSMUSG00000000392	0	0	0.222016	0.125334	0.0218886	0.113566	0	0	0.219163	0.116623
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0.568555
ENSMUSG00000000399	57.586	47.6032	78.3886	105.311	91.0742	82.8762	98.4212	112.235	85.8827	143.239
ENSMUSG00000000402	0	0.777634	0.00729845	0.189696	0.00632212	9.08543	3.32449	0.275124	3.90536	1.11737
ENSMUSG00000000409	0.229942	3.03966	0.142148	0.372884	0.354715	0.0412046	0.06976	1.50258	0.59208	0.1228
ENSMUSG00000000411	0	0.13748	0	0.236152	0	0	0	0	0.0466209	0.0231547
ENSMUSG00000000416	251.18	156.121	78.3001	87.5803	123.547	184.32	262.541	245.649	41.0524	25.0263
ENSMUSG00000000420	14.8064	20.9348	17.1617	11.6472	22.7793	12.3567	9.49239	9.91354	24.4151	29.9809
ENSMUSG00000000435	0	0	0	0	0.139518	0	0	0	0	0
ENSMUSG00000000439	14.4827	9.82239	7.63016	7.17423	5.86582	9.61205	10.0561	11.4775	6.64019	7.72156
ENSMUSG00000000440	0.0277216	1.11632	1.15058	0.687363	0.111137	0	0	0.237639	1.29203	3.88182
ENSMUSG00000000441	14.1681	23.5096	14.0585	11.5294	15.9348	15.4466	12.8524	15.9494	14.5608	12.3164
ENSMUSG00000000486	0	0	0	0	0	0	0	0	0.112936	1.53051
ENSMUSG00000000489	8.38499	1.69997	4.14705	3.01898	3.51827	2.90077	2.92322	4.31069	0.532152	0.082681
ENSMUSG00000000530	0	0	0	0.644118	0.015292	0	0	0	0	0
ENSMUSG00000000531	21.5273	8.0126	5.63371	5.42646	4.57171	10.0675	17.0541	12.9357	2.37896	0.533857
ENSMUSG00000000532	38.2479	47.2111	40.961	45.5968	48.9423	59.0935	56.0531	47.8969	17.3905	22.8581
ENSMUSG00000000538	117.602	57.6318	93.6161	65.5387	70.5698	51.3628	58.9983	69.0557	92.6532	83.2286
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	3.08221	2.31224	1.9921	2.23614	1.65306	0.183586	0.48536	1.58225	37.6267	47.6102
ENSMUSG00000000555	0	0.00507791	0.00450674	0.0275188	0	0	0	0	0.130453	0.0541736
ENSMUSG00000000560	27.9301	53.4775	34.6124	36.4871	30.9192	43.0742	45.8696	44.0392	5.99938	1.97396
ENSMUSG00000000561	15.2251	23.5516	17.0174	17.4239	19.7497	13.1332	16.3391	15.6978	16.6181	11.8258
ENSMUSG00000000562	0	0	0	0	0	0	0	0	0.0729323	0
ENSMUSG00000000563	86.4783	64.0599	100.569	82.5976	107.952	104.329	90.1429	84.1961	170.466	167.901
ENSMUSG00000000567	0.0263947	0.939367	0.490118	0.655666	0.380734	0	0.185007	0.0821535	0.913077	0.954087
ENSMUSG00000000568	163.537	197.768	162.086	159.177	153.802	181.439	218.256	200.299	168.295	143.214
ENSMUSG00000000579	1.29471	2.87293	1.08459	1.17474	2.26212	1.27587	0.689005	0.892002	1.38534	1.7344
ENSMUSG00000000581	19.2307	11.3484	13.4513	14.1651	13.5122	13.5085	15.3171	13.8112	21.9496	23.7793
ENSMUSG00000000594	3.38752	6.41179	5.29583	6.15495	7.11133	5.08999	4.95823	5.89317	8.02226	5.61191
ENSMUSG00000000600	10.61	16.5682	15.3585	11.3729	10.4742	14.013	13.3036	13.9064	9.72941	18.4163
ENSMUSG00000000605	14.1079	20.5474	32.6755	25.7848	33.6669	29.0472	30.3139	24.0646	15.6226	25.9911
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	18.2049	14.6171	10.4857	18.1031	23.8655	11.8942	10.559	10.7118	9.9389	15.7227
ENSMUSG00000000628	0.49906	1.61032	3.12605	6.39339	1.31032	0.524171	0.90374	0.965062	4.57695	0.00257427
ENSMUSG00000000631	9.02488	8.4369	11.5473	11.3039	18.5353	13.5333	18.9539	13.7908	5.42384	8.75806
ENSMUSG00000000632	21.1193	11.713	10.977	38.0068	40.8669	67.2328	67.4263	64.2667	3.04605	12.4123
ENSMUSG00000000673	0	0.317433	0	0	0	0	0	0	0	0.126399
ENSMUSG00000000682	0	0	0	0	0	0	0	0	3.4936	0
ENSMUSG00000000686	1.38522	0.537892	0.122264	0.0380267	0.066984	0.274765	0.0975898	0.0911259	0.0158731	0.261234
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	0.263244	0.389674	0.0399521	0.0731851	0.22409	0.0284746	0.0346497	0.0563652	0.110265	0.0270364
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0	0.133875	0.316449
ENSMUSG00000000708	0.175431	4.52647	0.266957	0.922287	1.95706	1.92589	2.55899	2.72084	3.79532	9.83623
ENSMUSG00000000711	39.5287	27.7097	42.4047	38.2637	33.0245	34.9466	41.9932	33.8131	50.7429	35.001
ENSMUSG00000000724	0	0.187261	0.823965	0.117337	0.0250237	0.0562093	0.0760944	0.0679488	0.142738	0
ENSMUSG00000000730	0	0	0.106122	0.127314	0	0.399535	0.220447	0	0.645755	3.89602
ENSMUSG00000000731	1.0325	0	0	0.0308082	0	0.0100552	1.01007	0	0	0
ENSMUSG00000000732	0.97167	3.03381	2.51824	2.44403	0.798537	0.034315	1.82147	3.4262	0.12225	0.255446
ENSMUSG00000000738	25.8657	9.08083	10.1871	13.7958	10.4627	9.35661	11.3863	12.5744	24.5791	15.0624
ENSMUSG00000000739	0	0	0	0.950318	0.210257	1.25859	3.95697	1.80866	0.133669	0
ENSMUSG00000000740	86.1742	54.1039	44.7934	60.7863	44.285	65.2091	54.2549	54.0382	204.045	125.372
ENSMUSG00000000743	1.52122	5.10041	8.05697	11.2573	9.45024	10.9967	10.537	9.63211	10.4064	10.1604
ENSMUSG00000000751	19.3716	13.952	8.33157	9.52418	7.09844	13.3225	13.9974	19.2141	5.73216	4.86429
ENSMUSG00000000753	0	0.0793608	15.6588	14.6178	0.198854	0.232485	0.379873	0.486247	9.69456	32.9749
ENSMUSG00000000759	15.2765	18.3147	11.2109	14.3615	11.6272	11.3907	17.7067	15.568	14.3132	15.2849
ENSMUSG00000000766	2.73247	7.58936	0.0167428	0	0.369808	0	0.381666	0.49596	27.3856	57.6264
ENSMUSG00000000776	1.47085	1.57509	2.54813	3.70378	3.38997	3.75159	2.57511	5.77546	8.43529	7.75625
ENSMUSG00000000782	0.175062	0.216393	0.0679188	0.095241	0.311457	0.0953351	0.0767941	0.0247939	0.150943	0.438698
ENSMUSG00000000787	103.881	93.602	114.046	114.022	144.149	113.108	114.745	86.3088	77.136	81.568
ENSMUSG00000000791	0	0.00811996	0	0	0.0522213	0	0.119085	0	0.120887	0
ENSMUSG00000000792	1.0149	0.223548	2.19356	10.3107	2.31736	4.16903	1.49629	3.82918	21.7173	6.66153
ENSMUSG00000000794	14.7001	6.7547	0.359912	3.36973	0.98013	0.699465	3.08244	4.5363	0.543637	0
ENSMUSG00000000804	30.775	35.6445	64.058	49.1004	54.3816	54.9707	54.2262	48.1877	47.6666	31.7915
ENSMUSG00000000805	10.6979	25.3931	40.1671	27.2314	9.4639	21.9699	14.8936	8.82235	0.690072	6.39158
ENSMUSG00000000811	0	0.0590152	0.387346	0.487694	0.477281	0.0334183	0.264455	0.0969879	3.46761	0.994842
ENSMUSG00000000817	0	0.059097	0.0101884	0.0128563	0	0.0336414	0	0	0	0.169469
ENSMUSG00000000823	28.2859	28.1298	9.4457	10.7439	7.91292	13.5767	14.3151	14.8263	4.60295	4.38862
ENSMUSG00000000826	91.8315	75.0258	111.039	80.1361	68.3723	68.455	70.0734	75.8808	79.9448	67.6825
